Ticker,Company,Sector,Price vs 52-wk High (%),Volatility 1-Year,Dividend Yield,Shareholder Yield,Buyback Yield,Annualized 5-Year Return,Annualized 10-Year Return,5-Year Price / Earnings Range Low,5-Year Price / Earnings Range High,5-Year Price / Earnings Range % of Range,Margin of Safety,Market Cap ($M USD),ROIC,IPO Date,Sales 5-Year Avg (%),Price,Fair Value,52-wk High,52-wk Low,52-wk Range Low,52-wk Range High,52-wk Range % of Range,Best Monthly Return,Worst Monthly Return,Max Drawdown 1-Year,5-Year Price Range Low,5-Year Price Range High,5-Year Price Range % of Range,YTD Return,1-Day Return,5-Day Return,1-Month Return,3-Month Return,6-Month Return,1-Year Return,2-Year Return,3-Year Return,5-Year Return,10-Year Return
PLMR,Palomar Hldgs,Financial Services,93.20%,0.37,- ,0.30%,0.30%,24.80%,- ,19.6,<-100,16.2,-17%,"$2,248",18.60%,04/17/2019,40.00%,$89.91,$74.40,$96.44,$48.08,$48.08,$96.44,86.5,38.40%,-29.80%,-15.70%,$29.54,$121.87,65.4,62.00%,-3.70%,-0.10%,11.80%,6.90%,47.80%,56.00%,23.60%,1.40%,202.40%,- 
PNR,Pentair,Industrials,94.10%,0.27,1.10%,1.30%,0.20%,19.80%,8.80%,11.1,33.2,71.9,-5%,"$13,963",14.40%,03/04/1996,6.90%,$84.37,$79.95,$89.63,$57.18,$57.18,$89.63,83.8,26.40%,-27.60%,-19.30%,$22.01,$89.63,92.2,17.10%,1.00%,0.90%,12.80%,0.90%,13.90%,20.20%,80.00%,14.80%,147.10%,133.20%
RMD,ResMed,Healthcare,96.00%,0.37,1.00%,1.10%,0.20%,11.50%,17.30%,21.9,95,39.1,9%,"$31,824",17.50%,06/02/1995,11.90%,$216.59,$236.46,$225.68,$132.24,$132.24,$225.68,90.3,19.50%,-29.20%,-26.60%,$108.85,$301.34,56,26.50%,1.10%,-3.20%,13.80%,-0.10%,17.60%,23.70%,-6.80%,-20.10%,72.10%,392.00%
ROL,Rollins,Consumer Cyclical,94.00%,0.23,1.30%,2.60%,1.40%,18.20%,20.40%,39.6,97.3,35.7,-19%,"$23,072",23.20%,08/12/1968,11.40%,$47.64,$38.67,$50.87,$32.19,$32.19,$50.87,82.7,22.50%,-13.70%,-20.40%,$20.48,$50.87,89.4,10.20%,0.40%,-0.50%,-3.90%,1.70%,10.70%,18.50%,32.10%,31.70%,130.70%,541.40%
STRL,Sterling Infrastructure,Industrials,76.00%,0.51,- ,0.00%,0.00%,56.90%,27.80%,4.9,29.7,90.5,3%,"$3,213",17.90%,10/01/1992,14.90%,$104.56,$107.88,$137.63,$55.45,$55.45,$137.63,59.8,36.10%,-30.10%,-24.80%,$6.72,$137.63,74.7,18.90%,-3.10%,-0.30%,-5.90%,-16.50%,25.30%,33.50%,323.50%,375.50%,849.70%,1064.40%
TBBK,Bancorp,Financial Services,87.70%,0.37,- ,5.40%,5.40%,37.70%,17.90%,3.8,24,82.2,- ,"$2,311",37.30%,02/03/2004,10.10%,$46.92,- ,$53.48,$29.92,$29.92,$53.48,72.2,36.80%,-52.20%,-36.30%,$3.36,$53.48,86.9,21.70%,-0.80%,-3.30%,18.30%,42.00%,6.90%,21.20%,97.30%,86.30%,394.40%,420.20%
TTEK,Tetra Tech,Industrials,96.60%,0.25,0.50%,0.50%,0.00%,24.30%,25.50%,22.4,53.6,80.2,-31%,"$12,145",12.50%,12/01/1991,11.10%,$226.89,$157.50,$234.94,$143.35,$143.35,$234.94,91.2,15.70%,-18.80%,-14.30%,$63.61,$234.94,95.3,36.30%,-2.10%,-1.40%,13.60%,7.00%,27.80%,36.70%,61.80%,70.10%,196.60%,871.00%
TXRH,Texas Roadhouse,Consumer Cyclical,94.30%,0.23,1.40%,2.00%,0.60%,27.30%,22.70%,13.4,>100,59.3,-10%,"$11,172",17.90%,10/05/2004,13.90%,$167.56,$150.38,$177.72,$91.06,$91.06,$177.72,88.3,30.00%,-30.30%,-15.80%,$25.15,$177.72,93.3,38.10%,-0.30%,0.90%,0.60%,1.00%,25.30%,56.80%,95.10%,98.60%,233.90%,674.10%
UFPT,UFP Techs,Healthcare,92.20%,0.46,- ,0.00%,0.00%,49.40%,28.70%,12.7,51.9,97.6,-19%,"$2,373",15.00%,12/23/1993,15.60%,$309.45,$251.72,$335.61,$127.29,$127.29,$335.61,87.4,29.30%,-23.80%,-22.80%,$30.80,$335.61,91.4,79.90%,-0.20%,-2.20%,3.20%,18.40%,77.10%,74.70%,250.30%,376.40%,643.20%,1141.80%
UTHR,United Therapeutics,Healthcare,96.00%,0.25,- ,6.90%,6.90%,32.30%,14.00%,8.3,-28.7,35.2,12%,"$14,693",18.20%,06/17/1999,11.30%,$330.26,$370.88,$343.98,$208.62,$208.63,$343.98,89.9,30.10%,-18.10%,-18.00%,$75.58,$343.98,94.9,50.20%,-0.20%,0.80%,2.40%,24.10%,55.50%,40.50%,50.70%,59.00%,304.70%,272.20%
V,Visa,Financial Services,89.30%,0.15,0.80%,3.70%,2.90%,8.50%,18.20%,25.5,51.8,16,5%,"$505,461",32.70%,03/19/2008,9.40%,$259.76,$273.71,$290.96,$227.78,$227.78,$290.96,50.6,16.70%,-16.20%,-12.60%,$133.93,$290.96,80.1,0.30%,0.20%,-2.40%,-1.90%,-6.40%,-5.70%,9.40%,25.70%,10.90%,50.50%,430.50%
Summary, , ,86.60%,0.35,0.40%,1.70%,1.30%,28.30%,25.10%, , , ,-2%,"$229,067",22.40%, ,18.10%, ,$250.43, , , , , ,31.50%,-24.80%, , , , ,23.50%,0.10%,1.30%,-0.40%,4.40%,13.50%,38.60%,96.50%,96.70%,349.40%,1836.00%
